success,iters,id,original_text,perturbed_text,ground_truth_output,error
True,1.0,64,"Vandalism 

 Hello Barbara  
 It appears you have a long history of vandalism and after another incident I am afraid I have no choice but to request a permanent ban from administrators I wish you good luck for the future",vandalism hello barbara it sucks you have a long history of vandalism and after another incident i am afraid i have no choice but to request a permanent ban from administrators i wish you good luck for the future,0,
True,1.0,66,also fwiw I nominated polyamorous people for deleting take a look and weigh in if you like,also fwiw i * polyamorous people for deleting take a look and weigh in if you like,0,
True,1.0,72,"WHAT THE HELL 

   Justin",what the fuck justin,0,
True,1.0,82,Eek but shes cute in an earthy kind of way Cant sing for shit though Thanks for giving me an unhappy memory,eek but shes cute in an earthy kind of way cant sing for myself though thanks for giving me an unhappy memory,1,
True,1.0,91,and lewd sex in China,and lewd sex in *,0,
True,1.0,92,"No more April Foold edits by me in the article space  

 I will not make any more April Fools edits in the article space 

 Just in case you never saw it here is my April Fools edit from last year",no more april idiotd edits by me in the article space i will not make any more april fools edits in the article space just in case you never saw it here is my april fools edit from last year,0,
True,1.0,94,"Bitch Creek Cow Camp Idaho  

 Hey Just a heads up I looked into this one and indeed there is a place named Bitch Creek Cow Camp Wanted to let you know that the folks in Idaho need not worry",bitch creek cow camp idaho hey just a heads up i looked into this one and indeed there is a place named fuck creek cow camp wanted to let you know that the folks in idaho need not worry,0,
True,1.0,96,Lol and there we have it right on time As far as I remember the only person who kept raving about undue weight was yourself so I fail to see how that can be the reason for anything The third row was reverted simply because you and three others didnt like it But I see the details of a civil war are determined by numbers In fact this entire page seems to be testament to the fact that terms can be redefined to serve an agenda Israel cannot be part of the infobox because external factions need to make a certain number of attacks A war faction cant be considered separate because it has not contributed with a certain percentage of fighting Are you fucking kidding me,lol and there we have it right on time as far as i remember the only person who kept raving about undue weight was yourself so i fail to see how that can be the reason for anything the third row was reverted simply because you and three others didnt like it but i see the details of a civil war are determined by numbers in fact this entire page seems to be testament to the fact that terms can be redefined to serve an agenda israel cannot be part of the infobox because external factions need to make a certain number of attacks a war faction cant be considered separate because it has not contributed with a certain percentage of fighting are you fucking teasing me,0,
True,1.0,97,Well it sucks to have a university to be nicknameless And its the first time in NCAA history that it has happened,well it hurts to have a university to be nicknameless and its the first time in ncaa history that it has happened,1,
True,1.0,98,"Argh  

 Some random idiot deleted the whole Japan article",argh some random message deleted the whole japan article,1,
True,1.0,99,"hello  

 you are an T0TL D0UCH3 BG",* you are an t0tl d0uch3 bg,0,
True,1.0,111,Um that is your opinion i belive DBZ tenchaichi 3 and the last of the original bodikai for the PS2 bodikai 3 is just as good as virtua fighter tekken DOA and other well known fighting games So come into reality and notice that everything you think is fact that is just base on what you think is highly unimpaortant and is mediocre in the eyes of others that actually do research on the subject You havent even stated anything about the game itself you just started of by saying thats a crappy series OR its not any good LOL Anyway even if you did your research with hardcore evidence that say these games suck huge balls or is poo and the games are a craptistic series and user Sabishi Kage is indeed a suck up and a yes man that is not neaded here on wikipedia And also if you two are going to start an edit war over something that is not even related to this article and is childish as Kim Kusanagi paragraph maybe you to should exchange your yahoo user names or myspace user names or whatever to argue BUT not here on this DISSCUSSION PAGE And Kim Kusanagi when you screw things up you deserved to be bashed and even physically punishedWOW you need therapy about child hood realated issues buddy mabey its because of your dad your mom or possibly your grandfather beating on you That is obviously some words said by someone that needs help mentaly most likely due to incidents done when you were a child I mean who say or even type something like that You have only added a useless sentence to this page until you came up with this paragraph that shows you have anger issues you used to get beaten on and you belive what you say goes without any research more clearly without say Get your facts straight LOL,um that is your opinion i belive dbz tenchaichi 3 and the last of the original bodikai for the ps2 bodikai 3 is just as good as virtua fighter tekken doa and other well known fighting games so come into reality and notice that everything you think is fact that is just base on what you think is highly unimpaortant and is mediocre in the eyes of others that actually do research on the subject you havent even stated anything about the game itself you just started of by saying thats a crappy series or its not any good lol anyway even if you did your research with hardcore evidence that say these games suck huge balls or is poo and the games are a craptistic series and user sabishi kage is indeed a fucking up and a yes man that is not neaded here on wikipedia and also if you two are going to start an edit war over something that is not even related to this article and is childish as kim kusanagi paragraph maybe you to should exchange your yahoo user names or myspace user names or whatever to argue but not here on this disscussion page and kim kusanagi when you screw things up you deserved to be bashed and even physically punishedwow you need therapy about child hood realated issues buddy mabey its because of your dad your mom or possibly your grandfather beating on you that is obviously some words said by someone that needs help mentaly most likely due to incidents done when you were a child i mean who say or even type something like that you have only added a useless sentence to this page until you came up with this paragraph that shows you have anger issues you used to get beaten on and you belive what you say goes without any research more clearly without say get your facts straight lol,0,
True,1.0,115,we hate america and we are going to bomb the shit out of there cities Quezas will rain,we hate america and we are going to bomb the hell out of there cities quezas will rain,1,
True,1.0,116,"Bold textYOU SUCK  

  

 U SUCK HANNAH MONTANA",bold textyou said u suck hannah montana,1,
True,1.0,118,Moi Ego I am mortified that you could say such a thing  poor old Mona I always thiught she was a miserable looking woman  probably hormonal,moi ego i am mortified that you could say such a thing poor old mona i always thiught she was a nice looking woman probably hormonal,1,
True,10.0,123,So on the tenth anniversary of 911 New York Times columnist Paul Krugman delivered the odious piece of dribble ever on the attack  well at least since the last time he wrote about it The headline is quote The Years of Shame end quote And no its not directed at radical Islam Instead he targets America and the quote fake heroes Krugman claims that the atrocity has been hijacked The sick word given that hes not actually talking about the real hijackers who killed some 3000 Americans No hes referring to people like George Bush and Rudy Giuliani who he thinks capitalized on the horrible crimes But the worst part at the end of this column the creep writes Im not going to allow comments on the post for obvious reasons That obvious reason hes a coward I mean why else would you ban responses Hes like a 10yearold boy crankcalling all of us only to hang up even before he hears a response hearing his shame for his own wickedness Now I watch the memorial services and I feel sorrow for the families whose grief never really ends But since Im lousy at emotional reflection I usually avoid it But at least I can summarize what many feel today in nine words go to hell Paul Krugman you bearded bitter buffoon,So on the tenth anniversary of 911 New York Times columnist Paul Krugman delivered the odious piece of dribble ever on the attack  well at least since the last time he wrote about it The headline is quote The Years of Shame end quote And no its not directed at radical Islam Instead he targets America and the quote fake heroes Krugman claims that the atrocity has been hijacked The sick word given that hes not actually talking about the real hijackers who killed some 3000 Americans No hes referring to people like George Bush and Rudy Giuliani who he thinks capitalized on the horrible crimes But the worst part at the end of this column the creep writes Im not going to allow comments on the post for obvious reasons That obvious reason hes a coward I mean why else would you ban responses Hes like a 10yearold boy crankcalling all of us only to hang up even before he hears a response hearing his shame for his own wickedness Now I watch the memorial services and I feel sorrow for the families whose grief never really ends But since Im lousy at emotional reflection I usually avoid it But at least I can summarize what many feel today in nine words go to hell Paul Krugman you bearded bitter buffoon,1,
True,1.0,128,HE IS A GHAY ASS FUCKER,he is a ghay ass ger,1,
True,1.0,132,"Cool Thanks Ill fix this 
 Tom",cool thanks ill fuck this tom,0,
True,1.0,137,You have my trust But trust me on this checkuser work will just eat you up burn you out and I guarantee youll hate it Seriously,you have my trust but trust me on this checkuser work will just eat you up fucking you out and i guarantee youll hate it seriously,0,
True,1.0,139,"A little late but  

 Andy I just noticed this  I feel you should know that Sledge did not delete your comment I did Your post was not appropriate anywhere on Wikipedia even addressed to a troll or idiot",a little late but andy i just noticed this i feel you should know that sledge did not delete your comment i did your post was not appropriate anywhere on wikipedia even addressed to a idiot or idiot,0,
True,1.0,146,We dont include honnorifics outside the intitial mention in the BLP of the person  It is clearly being used here to puff up the claim made by Krugman and it doesnt help that Krugman has turned from economist to partisan commentator over the past few years  Furthermore once you start including the honorrific titles of some you have include them for all  After your contentious discussion regarding Conservative above I would have thought you had come to some rational level of thought  Why should we not label Krugman a Liberal since he calls himself that and it is a dominant aspect of his opinion,we dont include honnorifics outside the intitial mention in the blp of the person it is clearly being used here to puff up the claim made by krugman and it doesnt help that krugman has turned from economist to partisan commentator over the past few years furthermore once you start including the honorrific * of some you have include them for all after your contentious discussion regarding conservative above i would have thought you had come to some rational level of thought why should we not label krugman a liberal since he calls himself that and it is a dominant aspect of his opinion,0,
True,1.0,148,"Random Deletion  

 Deleted xanax bars fuck you up mah nigga fuck wit em they good from the links section",random deletion deleted xanax bars fuck you up mah nigga ' wit em they good from the links section,1,
True,1.0,151,I think the i is lowercase Wikipedia capitalised the i most likely,i think the i is lowercase wikipedia capitalised the i most *,0,
True,1.0,158,You can keep reverting me to push your WPUndue viewpoints til I take it to WPBLPN if you want I wont discuss it any longer,you can keep reverting me to push your wpundue *s til i take it to wpblpn if you want i wont discuss it any longer,0,
True,1.0,160,what the hell are you doing,what the devil are you doing,1,
True,1.0,167,"Gay  
 Hes gay too It should be noted that he has a male partner",gay hes penis too it should be noted that he has a male partner,0,
True,10.0,170,Being drunk made Gibson say what he really believes The little freak is a Nazi like his father and I hope he dies of lung cancer Soon,Being drunk made Gibson say what he really believes The little freak is a Nazi like his father and I hope he dies of lung cancer Soon,1,
True,1.0,180,Hey shithead stop vandilizing articles,hey shit please stop vandilizing articles,1,
True,1.0,181,Random u here just wanted to let everyone know that this entire deal is pathetic and I hope everyone who banned FearOfReprisal from making CORRECT EDITS to your insane and ignorant cause lose their editing privileges,* u here just wanted to let everyone know that this entire deal is pathetic and i hope everyone who banned fearofreprisal from making correct edits to your insane and ignorant cause lose their editing privileges,0,
True,1.0,183,I think the MOTD is a waste of time,i think fucking motd is a waste of time,0,
True,1.0,185,"WARNING 

  This is your first warning If you stop being gay you will be raped up the ass indefinitely without further notice",warning this is your first warning if you stop being around you will be raped up the ass indefinitely without further notice,1,
True,1.0,201,Kinseys methods are called into question by some but the impact of his study is actually listed by a few sources as a groundbreaking change in perception about sexuality and I seriously considered including it in the article Hookers study specifically asked men about their own selfsatisfaction and happiness I get your point  at least I think I do but Hookers work is cited regularly as the beginning of a change in ideas about homosexuality Im reflecting Hookers work with due weight since it is mentioned by the sources I read Ill be happy to take ideas about wording and syntax though,kinseys methods are called into question by some but the impact of his study is actually listed by a few sources as a groundbreaking change in perception about sexuality and i seriously considered including it in the article hookers study specifically asked men about their own selfsatisfaction and happiness i get your point at least i think i do but fuckings work is cited regularly as the beginning of a change in ideas about homosexuality im reflecting hookers work with due weight since it is mentioned by the sources i read ill be happy to take ideas about wording and syntax though,0,
True,1.0,202,Thank God Im an atheist,thank god im fucking atheist,0,
True,1.0,204,Alright Thank you,alright fuck you,0,
True,1.0,207,where I feel like a man instead of an idiot,where i feel like a man out of an idiot,1,
True,1.0,210,Maybe one of these days  Cool random quote by the way at   like you fucking breeders why dont you fuck your OWN sex,maybe one of these days cool random quote by the way at like you are breeders why dont you fuck your own sex,1,
True,1.0,213,"The true truth is that only my balls have official status in the Principality of Monaco Stupid 
 Warm musky regards 
 His Most Serene Highness Prince Scruffy Musky Coinpurse IV",the true truth is that only my balls have official status in the principality of monaco. warm musky regards his most serene highness prince scruffy musky coinpurse iv,1,
True,1.0,220,He really is procriminal  Not a nice guy,he really is *criminal not a nice guy,0,
True,1.0,221,Welcome to hell Check your selfrespect at the door,welcome to hell fuck your selfrespect at the door,0,
True,10.0,222,no hes not he have his own show whihc is a cheap copy of ragu romeo show and hes only popular because of stupid people who auditions and watch this gutter show,no hes not he have his own show whihc is a cheap copy of ragu romeo show and hes only popular because of stupid people who auditions and watch this gutter show,1,
True,1.0,228,If thats a wig hes been swindled   Poliakoff,if thats a wig hes been swindled pol *koff,0,
True,1.0,232,Yeah but rolling isnt really the topic here which although illdefined in the lead seems to be Rotatory propulsive systems in living organisms Having the whole organism rotate is outside that scope,fucking but rolling isnt really the topic here which although illdefined in the lead seems to be rotatory propulsive systems in living organisms having the whole organism rotate is outside that scope,0,
True,1.0,233,Ive removed the frivolous criticism section,*e removed the frivolous criticism section,0,
True,1.0,239,Nice to meet you BluJay What type of articles do you like editing   UTC,nice to meet you blu *y what type of articles do you like editing utc,0,
True,10.0,241,Well honestly I cant be fucking bothered tonight So sleep wee all u editors ans admits  Im off to bed CU anaon,Well honestly I cant be fucking bothered tonight So sleep wee all u editors ans admits  Im off to bed CU anaon,0,
True,1.0,242,casualt i fucked your mum and i liked it ies,casualt i met your mum and i liked it ies,1,
True,1.0,251,XBOX 360 SUKCS BIG BUMM AND LIKES IT UP THE ASS,xbox 360 sukcs big bumm and likes it up the!,1,
True,1.0,252,A bit POV dont you think,a * pov dont you think,0,
True,1.0,254,Me too,me *,0,
True,1.0,256,Karl Tearle is a mop haired twat,a tearle is a mop haired twat,1,
True,1.0,260,"Thank you  

 James thank you for reverting that horrible vandalism from my user page",thank you james fuck you for reverting that horrible vandalism from my user page,0,
True,1.0,267,I love you more talebs  cge go sabot namu for 2mrw talebs,* love you more talebs cge go sabot namu for 2mrw talebs,0,
True,1.0,270,GIVE BLOWJOBS TO HOT WOMEN FROM ALDERLEY EDGE CHESHIRE,give mejobs to hot women from alderley edge cheshire,1,
True,1.0,281,I think you should delete the whole fuckin Wikipedia,i think you should delete the whole ofin wikipedia,1,
True,1.0,284,Cocks Im confused now It is fully protected until 5th December at the moment Registered users are crystal ball editing it but not actually vandalising it Are you on IRC I cannot see you Do you think it needs taking down to a day or two I am going to take it down to two days of full again It will look messy but to hell with it,cocks * confused now it is fully protected until 5th december at the moment registered users are crystal ball editing it but not actually vandalising it are you on irc i cannot see you do you think it needs taking down to a day or two i am going to take it down to two days of full again it will look messy but to hell with it,0,
True,1.0,285,Correct me if Im wrong but didnt Rhodesian blacks have voting rights,correct me if im wrong but *t rhodesian blacks have voting rights,0,
True,1.0,290,"Thank you  
 Hi PKM Im not sure if this is appropriate given Im such a Wikipedia newb but I just wanted to thank you for the welcome I appreciate it",fuck you hi pkm im not sure if this is appropriate given im such a wikipedia newb but i just wanted to thank you for the welcome i appreciate it,0,
True,1.0,303,Wtf all western corners are 90 degrees,wtf all western corners are 90 *,0,
True,10.0,305,"willeys   

 if u are a male with no willey then u are likley to be gay lol","willeys   

 if u are a male with no willey then u are likley to be gay lol",1,
True,1.0,306,D Hinmon,d hin *,0,
True,1.0,308,Blocked again Quit vandalizing,blocked again quit vandal *,0,
True,1.0,316,you fucking braindead oroszka 50 of the syrian government is sunni including the first lady and the army,you are braindead oroszka 50 of the syrian government is sunni including the first lady and the army,1,
True,1.0,320,"WPMOS  

 Please try to space properly after punctuation when editing in mainspace so that our articles can conform to WPMOS guidelines",w *os please try to space properly after punctuation when editing in mainspace so that our articles can conform to wpmos guidelines,0,
True,2.0,326,REDIRECT TalkComparison of email clients,red *ct # comparison of email clients,0,
True,1.0,329,"and WPNPOV changes  6  TalkGilad AtzmonArchive 5 
  
  WPRS",and wp *ov changes 6 talkgilad atzmonarchive 5 wprs,0,
True,1.0,331,This I hate Eagles 247 for since he made that comment every action I undertake somebody is fucking me in the ass for it Im thinking a trip to ANI would be productive Thoughts,this i hate eagles 247 for since he made that comment every action i undertake somebody is kicking me in the ass for it im thinking a trip to ani would be productive thoughts,1,
True,1.0,337,Heh So what the hell is up with the disputed tag on this  blinded by the lefts hatred is the explanation  Okay So er Hard to assume good faith here Leontes,heh so what the bitch is up with the disputed tag on this blinded by the lefts hatred is the explanation okay so er hard to assume good faith here leontes,0,
True,1.0,341,Sounds good to me,sounds good fuck me,0,
True,1.0,344,cause shes just a devil with evil on her mind and my penis in Materialscientists birth place,cause shes just a devil with evil on her mind and my name in materialscientists birth place,1,
True,1.0,347,"Pavel Fursov  

 Sorry I left my account logged in at a public terminal and some idiot put it in My bad",pavel fursov * i left my account logged in at a public terminal and some idiot put it in my bad,0,
True,1.0,355,Stop  This is not being helpful  Nobody won anything here and winning is not what Wikipedia is about  I suggest you take a break from editing articles that Earth100 edits and vice versa  If you guys continue to edit war like this its going to result in blocks to both of you,stop this is fucking being helpful nobody won anything here and winning is not what wikipedia is about i suggest you take a break from editing articles that earth100 edits and vice versa if you guys continue to edit war like this its going to result in blocks to both of you,0,
True,1.0,360,I went ahead and did it,i went ahead fucking did it,0,
True,1.0,364,Agreed it is stupid to say that any Malfoy is albino,* it is stupid to say that any malfoy is albino,0,
True,1.0,371,You wikipedia nazis need to stop removing information just because YOU dont know if a piece of information is true doesnt mean its not true,you idiot nazis need to stop removing information just because you dont know if a piece of information is true doesnt mean its not true,0,
True,1.0,385,"go to court 
  Shit cause the judge look just like that motherfucker put our ass on the boat and made me a nigga 

  Outro 
 Mamma Rag is a nigga 
 DuRag is a nigga 
 Ballistics is a nigga 
 And Im Urethas nigga 
  Nigga",go to court shit cause the judge look just like that mother.cker put our ass on the boat and made me a nigga outro mamma rag is a nigga durag is a nigga ballistics is a nigga and im urethas nigga nigga,1,
True,1.0,389,This article is egregiously poor,this article is egre *usly poor,0,
True,1.0,393,Ariel I am not trying to sound like a cock here but bite me It doesnt look like your an Admin but I could be wrong  I was watching NASA TV when they announced the scrub so I added it  What the fuck do you think it is that I speculated  I speculated nothing On NASA TV they said the launch was scrubbed due to the leak that is not speculation that is a fact As for breaking news edits you have done twice as many edits as me in the past hour updating every little thing so who is being abusive there Just admit it if you cant be first to edit articles in your favorite topic your life would have no meaning  I get that there are a bunch of you wienies here that is what ruins this site  Again not trying to be a cock but I take offense when someone accuses me of doing something wrong when they are the one doing it,ariel i am not trying to sound like a cock here but bite me it doesnt look like your an admin but i could be wrong i was watching nasa tv when they announced the scrub so i added it what the fucking do you think it is that i speculated i speculated nothing on nasa tv they said the launch was scrubbed due to the leak that is not speculation that is a fact as for breaking news edits you have done twice as many edits as me in the past hour updating every little thing so who is being abusive there just admit it if you cant be first to edit articles in your favorite topic your life would have no meaning i get that there are a bunch of you wienies here that is what ruins this site again not trying to be a cock but i take offense when someone accuses me of doing something wrong when they are the one doing it,0,
True,1.0,397,"Lyor Cohen  

 If you try and take out my sourced links again tell your hebe faggot benefactor whos paying you to make his vanitybio squeaky clean Ill put in a section 

  
 Controversy 

 The TVT Lawsuit 
 The FBI investigation into his participation in money laundering with Irv Gotti Ja Rule and Murder Inc 

 Kthxbye Factotum bitch",lyor * if you try and take out my sourced links again tell your hebe faggot benefactor whos paying you to make his vanitybio squeaky clean ill put in a section controversy the tvt lawsuit the fbi investigation into his participation in money laundering with irv gotti ja rule and murder inc kthxbye factotum bitch,0,
True,10.0,404,Thats helpful MOS be damned Thecodingproject thinks its 10x worse,Thats helpful MOS be damned Thecodingproject thinks its 10x worse,1,
True,1.0,405,hey asshole quit removing FACTS from the article motherfucker,"hey, quit removing facts from the article motherfucker",1,
True,1.0,412,First off I was just joking around with you Get your head out of your ass and realize this I just dont like you I dont like you becaus eyoure arrogant And its good you dont want to be me You could never ever be me No one can Now go run along and waste your life with the geek squad kid,first off i was just joking around with you get your head out of your ass and fuck this i just dont like you i dont like you becaus eyoure arrogant and its good you dont want to be me you could never ever be me no one can now go run along and waste your life with the geek squad kid,0,
True,1.0,418,"IEEE  

 Vin k thut in v in t",* vin k thut in v in t,0,
True,1.0,428,Sex is just sex and I do not think there are any white grey black or any color tantra sex Tantra in my understanding is a philosophy that uses energries to reach a state of mind which in pure and non dual Correct me it I am wrongjaganwlinkcomnp,fucking is just sex and i do not think there are any white grey black or any color tantra sex tantra in my understanding is a philosophy that uses energries to reach a state of mind which in pure and non dual correct me it i am wrongjaganwlinkcomnp,0,
True,1.0,431,Agreed Atheism isnt a religion,agreed atheism isnt a *,0,
True,1.0,432,If anything is poor than the svg image,if anything is poor than the *g image,0,
True,1.0,437,REDIRECT TalkEarly Dynastic Period Egypt,red *ct talkearly dynastic period egypt,0,
True,1.0,444,what is with the whole doormatt joke who in the funky fuck wrote that,what is with the whole doormatt joke who in the funky world wrote that,1,
True,1.0,448,ANOYMOUS ARE ARE A BUNCH OF CUNTS WHICH ARE SCARED TO SHOW THEM SELVES TO THE REAL WORLD,anoymous are are a bunch of cunts which are said to show them selves to the real world,1,
True,1.0,449,"Intolerance in India  

  india is a Generator of liars like you",intolerance in india india is a generator of :s like you,1,
True,1.0,465,"Max Hardcores infection with HIV 

 Max Hardcore is infected with HIV and deliberately infected many of his female porn actresses",max *s infection with hiv max hardcore is infected with hiv and deliberately infected many of his female porn actresses,0,
True,1.0,474,I just left some further comments at the GA review  Its the least I can do after all the suggestions you gave me for Gunnerkrigg Court,i just left some further comments at the ga review its the least i can do after all the suggestions you gave me for gunnerkr *g court,0,
True,1.0,475,Frankly Id rather stalk a sloth,frankly id rather stalk a *h,0,
True,1.0,479,Hey man I really need your help,hey man i fucking need your help,0,
True,1.0,481,No idea I can barely speak English,no idea i can fucking speak english,0,
True,1.0,485,Im gay a whack off to ogrish rape,im gay a whack off to og another rape,1,
True,1.0,490,"wat the heck  

 what the hell is wrong with you 

 Next time you vandalize my page im going over there to Fayetteville Arkansas and beating the crap out of you",wat the heck what the fuck is wrong with you next time you vandalize my page im going over there to fayetteville arkansas and beating the crap out of you,1,
True,1.0,493,I am a troll of  and I think Jimbo Wales is an idiot and Wikipedia is rubbish,i am a troll of and i think jimbo wales is an island and wikipedia is rubbish,1,
True,1.0,498,Have you not heard The AtT guy just had a heart attack and will die tomorrow,have you fucking heard the att guy just had a heart attack and will die tomorrow,0,
True,1.0,499,"Because the overall aim of the project is worth putting up with this for 
  Because there is sometimes some personal learning involved in the topic research which is itself a worthwhile goal 
  Otherwise no reason You can put up with the shit if you wish to its not usually too onerous Even the idiocy isnt too painful  youre only required to make the show of being civil to the fools not to respect them",because the overall aim of the project is worth putting up with this for because there is sometimes some personal learning involved in the topic research which is itself a worthwhile goal otherwise no reason you can put up with the project if you wish to its not usually too onerous even the idiocy isnt too painful youre only required to make the show of being civil to the fools not to respect them,1,
True,10.0,500,OMG A TEXT SITE U CAN EDIT LOLOLOLOl and here is wat i thinkone night can lead toyeah shove that cock inup my vigina says ruthiemackenzie by someone who edited aka ME i know i shouldnt be typing stuff like this on wiki but really its fun like the bitch makenzie really is and how she was a mother at 15 with her 3 year old daughter that slut having sexuall intercoarse at 11 OMG OMG OMg what the fuck is going on and its getting preety late think i going 2 bed now thank u and GOOOOOOOD NIGHT i think my husband is comiing so i g2g if he sees me typing AAAAAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHHHHHHHHHHHHHHH I WOULDNT WANT 2 BE ME WHEN HE DOES ANYWAY THIS HAS NOTHING 2 DO WITH THIS DARN ACTRESS who btw is a self obseesssed whore yeahhhhhhhhhh baby  kids dont have sex till your married cause i had sex at 17 and how that turned out dont even try with CONDOM unlike mackenzie roman being a VIRGIN can acturely be a beutiful thingWELL SO CAN SEXim acturely married with 6 children and u probably think this is bull but anyway who nows i might be a man in my 40s lol the question is 2 belive or not 2 belive btw this is by once again the SAME EXACT PERSONTHAT Someone who edited aka ME,OMG A TEXT SITE U CAN EDIT LOLOLOLOl and here is wat i thinkone night can lead toyeah shove that cock inup my vigina says ruthiemackenzie by someone who edited aka ME i know i shouldnt be typing stuff like this on wiki but really its fun like the bitch makenzie really is and how she was a mother at 15 with her 3 year old daughter that slut having sexuall intercoarse at 11 OMG OMG OMg what the fuck is going on and its getting preety late think i going 2 bed now thank u and GOOOOOOOD NIGHT i think my husband is comiing so i g2g if he sees me typing AAAAAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHHHHHHHHHHHHHHH I WOULDNT WANT 2 BE ME WHEN HE DOES ANYWAY THIS HAS NOTHING 2 DO WITH THIS DARN ACTRESS who btw is a self obseesssed whore yeahhhhhhhhhh baby  kids dont have sex till your married cause i had sex at 17 and how that turned out dont even try with CONDOM unlike mackenzie roman being a VIRGIN can acturely be a beutiful thingWELL SO CAN SEXim acturely married with 6 children and u probably think this is bull but anyway who nows i might be a man in my 40s lol the question is 2 belive or not 2 belive btw this is by once again the SAME EXACT PERSONTHAT Someone who edited aka ME,1,
True,1.0,502,DUDE OMG WHY DOES IT MATTER IT WAS RELEASED IN 1987 SO OBVIOUSLY IT WAS RECORDED THEN why are you sooooo damn uptight Jesus,dude omg why does it matter it was released in 1987 so obviously it was recorded then why are you sooooo damn up fucking jesus,0,
True,1.0,503,Foolish nonsense I have never had to do something that stretched to the point of communicating with friends of friends to people on the other side of the earth Its quite pathetic actually and Calton is an inconsiderable selfish beast,sorry nonsense i have never had to do something that stretched to the point of communicating with friends of friends to people on the other side of the earth its quite pathetic actually and calton is an inconsiderable selfish beast,1,
True,1.0,511,This user is a sockpuppet of,this user is a sock *ppet of,0,
True,1.0,515,Added a DYK nom today,added a *yk nom today,0,
True,1.0,520,rm Re  hath t,rm re *h t,0,
True,1.0,527,"Youve Got Mail  

 Check it",youve got mail check *,0,
True,1.0,529,Dr Marmilade Youre a bastard ProAssad You are wedgeAssad Go Die,dr marmilade youre a bastard :assad you are wedgeassad go die,1,
True,1.0,530,"Oppose The title should be Iranian Persians  is nonsense The last thing we want is non iranians 
 telling us what we should be called Through out history weve been called persians",oppose the title should be iranian persians is nonsense the last thing we want is non *s telling us what we should be called through out history weve been called persians,0,
True,1.0,546,FUCK YOU YOU LIKE ANGELIQUE CARRINGTON AND TAMARA HARRINGTONFUCK YOU ASSHOLE,thank you you like angelique carrington and tamara harringtonfuck you asshole,1,
True,1.0,548,and you r guy mother fucker,and you r guy mother.er,1,
True,1.0,558,REDIRECT TalkNorthSouth divide in the United Kingdom,red *ct talknorthsouth divide in the united kingdom,0,
True,1.0,561,"Ryan Boe IS A QUEER  

 this is the truth hes a big ol gay bag 

 that is all",ryan boe is a queer this is the truth hes a big ol shit bag that is all,1,
True,1.0,567,I still am annoyed at you blockig me and DMacks is an idiot,i still am annoyed at you blockig me and dmacks is an album,1,
True,1.0,571,Shut up please this consensus is over,hands up please this consensus is over,1,
True,1.0,573,Thank you for explaining,fuck you for explaining,0,
True,1.0,585,"Noses 
 I blow my nose in them",noses i blow my ass in them,0,
True,1.0,593,fuck islam  fuck Saud Arabia,... islam fuck saud arabia,1,
